package	mode	status	log_path
minisign	safe	PASS	logs/minisign.log
shadowsocks-libev	safe	PASS	logs/shadowsocks-libev.log
libtoxcore2	safe	PASS	logs/libtoxcore2.log
qtox	safe	PASS	logs/qtox.log
fastd	safe	PASS	logs/fastd.log
curvedns	safe	PASS	logs/curvedns.log
nix-bin	safe	PASS	logs/nix-bin.log
libzmq5	safe	PASS	logs/libzmq5.log
vim	safe	PASS	logs/vim.log
php8.3-cli	safe	PASS	logs/php8.3-cli.log
python3-nacl	safe	PASS	logs/python3-nacl.log
ruby-rbnacl	safe	PASS	logs/ruby-rbnacl.log
r-cran-sodium	safe	PASS	logs/r-cran-sodium.log
librust-libsodium-sys-dev	safe	PASS	logs/librust-libsodium-sys-dev.log
libtoxcore-dev	safe	PASS	logs/libtoxcore-dev.log
libzmq3-dev	safe	PASS	logs/libzmq3-dev.log
